"","sim","thresh_method","thresh_mean","thresh_n","thresh_n_full","thresh_se","sig_type","ci_n_up","ci_n_low","ci_em_up","ci_em_low","thresh_diff","obs_error","ts_length","thresh_quant","cov_sd","shape","best_mod","aic_diff"
"27",9,"abs_max_d2",-0.0824,25,1,0.0213704104884404,"sim_int",-0.0405147651078197,-0.12428523489218,0.128,-0.268,0.559656605433286,0.55,25,0.25,0,"skew","gam",12.6680203501648
"28",10,"abs_max_d2",-0.2372,25,1,0.0322076595444831,"none",-0.174074147266485,-0.300325852733515,0.0140000000000001,-0.536,0.404856605433286,0.55,25,0.25,0,"skew","gam_ns",1.03113089000419
"29",10,"abs_max_d2",-0.2372,25,NA,0.0322076595444831,"jack_quant",-0.174074147266485,-0.300325852733515,0.0140000000000001,-0.536,0.404856605433286,0.55,25,0.25,0,"skew","gam_ns",1.03113089000419
"30",10,"abs_max_d2",NA,0,0,NA,"sim_int",NA,NA,NA,NA,NA,0.55,25,0.25,0,"skew","gam_ns",1.03113089000419
"31",11,"abs_max_d2",-0.54,2,0,NA,"none",NA,NA,-0.369,-0.711,0.102056605433286,0.55,25,0.25,0,"skew","lm_ns",-1.61648472385423e-10
"32",11,"abs_max_d2",0.84,1,NA,NA,"jack_quant",NA,NA,NA,NA,1.48205660543329,0.55,25,0.25,0,"skew","lm_ns",-1.61648472385423e-10
"33",11,"abs_max_d2",NA,0,0,NA,"sim_int",NA,NA,NA,NA,NA,0.55,25,0.25,0,"skew","lm_ns",-1.61648472385423e-10
"34",12,"abs_max_d2",-0.375652173913044,23,1,0.0346161124701203,"none",-0.30780584018682,-0.443498507639267,-0.0240000000000005,-0.4725,0.266404431520242,0.55,25,0.25,0,"skew","lm_ns",-0.00646682209024618
"35",12,"abs_max_d2",-0.422727272727273,22,NA,0.0679107785292237,"jack_quant",-0.289624592647918,-0.555829952806627,-0.00700000000000145,-0.9905,0.219329332706013,0.55,25,0.25,0,"skew","lm_ns",-0.00646682209024618
"36",12,"abs_max_d2",-1.61,1,0,NA,"sim_int",NA,NA,NA,NA,-0.967943394566714,0.55,25,0.25,0,"skew","lm_ns",-0.00646682209024618
"37",13,"abs_max_d2",-0.8696,25,1,0.0133135269556944,"none",-0.843505966659636,-0.895694033340364,-0.728,-0.93,-0.227543394566714,0.55,25,0.25,0,"skew","gam",3.59504792581114
"38",13,"abs_max_d2",-0.8696,25,NA,0.0133135269556944,"jack_quant",-0.843505966659636,-0.895694033340364,-0.728,-0.93,-0.227543394566714,0.55,25,0.25,0,"skew","gam",3.59504792581114
"39",13,"abs_max_d2",-1.129,20,1,0.112049405407068,"sim_int",-0.909387200913018,-1.34861279908698,-0.8395,-2.08,-0.486943394566714,0.55,25,0.25,0,"skew","gam",3.59504792581114
"40",14,"abs_max_d2",-0.75875,24,1,0.0165024200550967,"none",-0.726405851034259,-0.791094148965741,-0.626,-0.89975,-0.116693394566714,0.55,25,0.25,0,"skew","gam",2.30942475939879
"41",14,"abs_max_d2",-0.75875,24,NA,0.0165024200550967,"jack_quant",-0.726405851034259,-0.791094148965741,-0.626,-0.89975,-0.116693394566714,0.55,25,0.25,0,"skew","gam",2.30942475939879
"42",14,"abs_max_d2",-0.83,6,0,0.0396988664825584,"sim_int",-0.752191651467121,-0.907808348532879,-0.69,-0.93125,-0.187943394566714,0.55,25,0.25,0,"skew","gam",2.30942475939879
"43",15,"abs_max_d2",-0.5756,25,1,0.0277080513770115,"none",-0.521293217219272,-0.629906782780728,-0.24,-0.704,0.0664566054332858,0.55,25,0.25,0,"skew","gam",8.83190050069058
"44",15,"abs_max_d2",-0.5756,25,NA,0.0277080513770115,"jack_quant",-0.521293217219272,-0.629906782780728,-0.24,-0.704,0.0664566054332858,0.55,25,0.25,0,"skew","gam",8.83190050069058
"45",15,"abs_max_d2",-0.598333333333333,24,1,0.0158044126147427,"sim_int",-0.567357253811627,-0.629309412855039,-0.40875,-0.70425,0.0437232720999525,0.55,25,0.25,0,"skew","gam",8.83190050069058
"46",16,"abs_max_d2",-0.558,25,1,0.0406671789585219,"none",-0.478293793888452,-0.637706206111548,-0.148000000000001,-0.782,0.0840566054332859,0.55,25,0.25,0,"skew","gam",4.83833711061522
"47",16,"abs_max_d2",-0.558,25,NA,0.0406671789585219,"jack_quant",-0.478293793888452,-0.637706206111548,-0.148000000000001,-0.782,0.0840566054332859,0.55,25,0.25,0,"skew","gam",4.83833711061522
"48",16,"abs_max_d2",-0.580434782608696,23,1,0.0151913179433251,"sim_int",-0.550660346562081,-0.61020921865531,-0.451,-0.7045,0.0616218228245902,0.55,25,0.25,0,"skew","gam",4.83833711061522
"49",17,"abs_max_d2",-0.728888888888889,9,0,0.0375185139483014,"none",-0.655353952796754,-0.802423824981023,-0.67,-0.954,-0.086832283455603,0.55,25,0.25,0,"skew","lm_ns",-1.62586388796626e-10
"50",17,"abs_max_d2",-0.728888888888889,9,NA,0.0375185139483014,"jack_quant",-0.655353952796754,-0.802423824981023,-0.67,-0.954,-0.086832283455603,0.55,25,0.25,0,"skew","lm_ns",-1.62586388796626e-10
"51",17,"abs_max_d2",-0.958571428571429,7,0,0.222878000651933,"sim_int",-0.521738574347345,-1.39540428279551,-0.6815,-1.9945,-0.316514823138143,0.55,25,0.25,0,"skew","lm_ns",-1.62586388796626e-10
"52",18,"abs_max_d2",-1.25458333333333,24,1,0.012779638321939,"none",-1.22953570248689,-1.27963096417978,-1.0935,-1.29,-0.612526727900048,0.55,25,0.25,0,"skew","lm_ns",-0.269644659753169
"53",18,"abs_max_d2",-1.25458333333333,24,NA,0.012779638321939,"jack_quant",-1.22953570248689,-1.27963096417978,-1.0935,-1.29,-0.612526727900048,0.55,25,0.25,0,"skew","lm_ns",-0.269644659753169
