"","sim","thresh_method","thresh_mean","thresh_n","thresh_n_full","thresh_se","sig_type","ci_n_up","ci_n_low","ci_em_up","ci_em_low","thresh_diff","obs_error","ts_length","thresh_quant","cov_sd","shape","best_mod","aic_diff"
"30",10,"abs_max_d2",NA,0,0,NA,"sim_int",NA,NA,NA,NA,NA,0.0275,25,0.25,1,"skew","gam_ns",0.0121527405201647
"31",11,"abs_max_d2",-0.6775,4,0,0.125288555831018,"none",-0.431938942896168,-0.923061057103832,-0.3885,-0.84325,-0.0354433945667141,0.0275,25,0.25,1,"skew","lm_ns",-9.93622961686924e-11
"32",11,"abs_max_d2",1.92,2,NA,NA,"jack_quant",NA,NA,1.92,1.92,2.56205660543329,0.0275,25,0.25,1,"skew","lm_ns",-9.93622961686924e-11
"33",11,"abs_max_d2",-0.783333333333333,3,0,0.0414326763155203,"sim_int",-0.702126779971808,-0.864539886694859,-0.741,-0.8455,-0.141276727900047,0.0275,25,0.25,1,"skew","lm_ns",-9.93622961686924e-11
"34",12,"abs_max_d2",NA,0,0,NA,"none",NA,NA,NA,NA,NA,0.0275,25,0.25,1,"skew","lm_ns",-9.80975300990394e-11
"35",12,"abs_max_d2",NA,0,NA,NA,"jack_quant",NA,NA,NA,NA,NA,0.0275,25,0.25,1,"skew","lm_ns",-9.80975300990394e-11
"36",12,"abs_max_d2",NA,0,0,NA,"sim_int",NA,NA,NA,NA,NA,0.0275,25,0.25,1,"skew","lm_ns",-9.80975300990394e-11
"37",13,"abs_max_d2",0.196086956521739,23,1,0.0104196875485503,"none",0.216509168847058,0.17566474419642,0.268,0.0755000000000002,0.838143561955025,0.0275,25,0.25,1,"skew","gam_ns",0.353710385618314
"38",13,"abs_max_d2",NA,0,NA,NA,"jack_quant",NA,NA,NA,NA,NA,0.0275,25,0.25,1,"skew","gam_ns",0.353710385618314
"39",13,"abs_max_d2",NA,0,0,NA,"sim_int",NA,NA,NA,NA,NA,0.0275,25,0.25,1,"skew","gam_ns",0.353710385618314
