"","sim","thresh_method","thresh_mean","thresh_n","thresh_n_full","thresh_se","sig_type","ci_n_up","ci_n_low","ci_em_up","ci_em_low","thresh_diff","obs_error","ts_length","thresh_quant","cov_sd","next_mod","shape","best_mod","aic_diff"
"1402",68,"abs_max_d2",-0.2012,25,1,0.00715211701370844,"none",-0.187182108239915,-0.215217891760085,-0.142,-0.268,0.440856605433286,0.0275,25,0.25,0.5,"gam_DC","skew","gam_DCl",0.000304631534689292
"1403",68,"abs_max_d2",-0.2012,25,NA,0.00715211701370844,"jack_quant",-0.187182108239915,-0.215217891760085,-0.142,-0.268,0.440856605433286,0.0275,25,0.25,0.5,"gam_DC","skew","gam_DCl",0.000304631534689292
"1404",68,"abs_max_d2",-0.2012,25,1,0.00715211701370844,"sim_int",-0.187182108239915,-0.215217891760085,-0.142,-0.268,0.440856605433286,0.0275,25,0.25,0.5,"gam_DC","skew","gam_DCl",0.000304631534689292
"1405",69,"abs_max_d2",-0.1736,25,1,0.00316666666666666,"none",-0.16739344738229,-0.17980655261771,-0.156,-0.206,0.468456605433286,0.0275,25,0.25,0.5,"gam_DCl","skew","gam_DC",3.73742980031011e-05
"1406",69,"abs_max_d2",-0.1736,25,NA,0.00316666666666666,"jack_quant",-0.16739344738229,-0.17980655261771,-0.156,-0.206,0.468456605433286,0.0275,25,0.25,0.5,"gam_DCl","skew","gam_DC",3.73742980031011e-05
"1407",69,"abs_max_d2",-0.1736,25,1,0.00316666666666666,"sim_int",-0.16739344738229,-0.17980655261771,-0.156,-0.206,0.468456605433286,0.0275,25,0.25,0.5,"gam_DCl","skew","gam_DC",3.73742980031011e-05
"1408",70,"abs_max_d2",-0.9324,25,1,0.0165651072371349,"none",-0.899932986415172,-0.964867013584828,-0.72,-1,-0.290343394566714,0.0275,25,0.25,0.5,"gam_DCl","skew","gam_DC",0.468867899329993
"1409",70,"abs_max_d2",-0.9324,25,NA,0.0165651072371349,"jack_quant",-0.899932986415172,-0.964867013584828,-0.72,-1,-0.290343394566714,0.0275,25,0.25,0.5,"gam_DCl","skew","gam_DC",0.468867899329993
"1410",70,"abs_max_d2",-0.9324,25,1,0.0165651072371349,"sim_int",-0.899932986415172,-0.964867013584828,-0.72,-1,-0.290343394566714,0.0275,25,0.25,0.5,"gam_DCl","skew","gam_DC",0.468867899329993
"1411",71,"abs_max_d2",-0.5636,25,1,0.0106699213784462,"none",-0.542687338380372,-0.584512661619628,-0.458,-0.6,0.0784566054332858,0.0275,25,0.25,0.5,"gam_DC","skew","gam_DCl",0.000337044699421085
"1412",71,"abs_max_d2",-0.5636,25,NA,0.0106699213784462,"jack_quant",-0.542687338380372,-0.584512661619628,-0.458,-0.6,0.0784566054332858,0.0275,25,0.25,0.5,"gam_DC","skew","gam_DCl",0.000337044699421085
"1413",71,"abs_max_d2",-0.5636,25,1,0.0106699213784462,"sim_int",-0.542687338380372,-0.584512661619628,-0.458,-0.6,0.0784566054332858,0.0275,25,0.25,0.5,"gam_DC","skew","gam_DCl",0.000337044699421085
"1414",72,"abs_max_d2",-0.6188,25,1,0.0122944205954481,"none",-0.594703378422134,-0.642896621577866,-0.526,-0.734,0.0232566054332858,0.0275,25,0.25,0.5,"gam_DC","skew","gam_DCl",8.39913063970243e-05
"1415",72,"abs_max_d2",-0.6188,25,NA,0.0122944205954481,"jack_quant",-0.594703378422134,-0.642896621577866,-0.526,-0.734,0.0232566054332858,0.0275,25,0.25,0.5,"gam_DC","skew","gam_DCl",8.39913063970243e-05
"1416",72,"abs_max_d2",-0.6188,25,1,0.0122944205954481,"sim_int",-0.594703378422134,-0.642896621577866,-0.526,-0.734,0.0232566054332858,0.0275,25,0.25,0.5,"gam_DC","skew","gam_DCl",8.39913063970243e-05
"1417",73,"abs_max_d2",-0.7944,25,1,0.0237249868282366,"none",-0.747899880282969,-0.840900119717031,-0.628,-1.074,-0.152343394566714,0.0275,25,0.25,0.5,"gam_DCl","skew","gam_DC",5.14719748026974
"1418",73,"abs_max_d2",-0.7944,25,NA,0.0237249868282366,"jack_quant",-0.747899880282969,-0.840900119717031,-0.628,-1.074,-0.152343394566714,0.0275,25,0.25,0.5,"gam_DCl","skew","gam_DC",5.14719748026974
"1419",73,"abs_max_d2",-0.7944,25,1,0.0237249868282366,"sim_int",-0.747899880282969,-0.840900119717031,-0.628,-1.074,-0.152343394566714,0.0275,25,0.25,0.5,"gam_DCl","skew","gam_DC",5.14719748026974
"1420",74,"abs_max_d2",-0.9756,25,1,0.0449153524854129,"none",-0.887567526775669,-1.06363247322433,-0.562000000000001,-1.03,-0.333543394566714,0.0275,25,0.25,0.5,"gam_DC","skew","gam_DCl",3.91719797576684e-05
"1421",74,"abs_max_d2",-0.9756,25,NA,0.0449153524854129,"jack_quant",-0.887567526775669,-1.06363247322433,-0.562000000000001,-1.03,-0.333543394566714,0.0275,25,0.25,0.5,"gam_DC","skew","gam_DCl",3.91719797576684e-05
"1422",74,"abs_max_d2",-0.9756,25,1,0.0449153524854129,"sim_int",-0.887567526775669,-1.06363247322433,-0.562000000000001,-1.03,-0.333543394566714,0.0275,25,0.25,0.5,"gam_DC","skew","gam_DCl",3.91719797576684e-05
"1423",75,"abs_max_d2",-1.1252,25,1,0.0249452177558924,"none",-1.07630827161194,-1.17409172838806,-0.842000000000001,-1.238,-0.483143394566714,0.0275,25,0.25,0.5,"gam_DC","skew","gam_DCl",9.80292881820333e-05
"1424",75,"abs_max_d2",-1.1252,25,NA,0.0249452177558924,"jack_quant",-1.07630827161194,-1.17409172838806,-0.842000000000001,-1.238,-0.483143394566714,0.0275,25,0.25,0.5,"gam_DC","skew","gam_DCl",9.80292881820333e-05
"1425",75,"abs_max_d2",-1.1252,25,1,0.0249452177558924,"sim_int",-1.07630827161194,-1.17409172838806,-0.842000000000001,-1.238,-0.483143394566714,0.0275,25,0.25,0.5,"gam_DC","skew","gam_DCl",9.80292881820333e-05
"1426",76,"abs_max_d2",-0.382,25,1,0.0103413947049924,"none",-0.361731238828302,-0.402268761171698,-0.272,-0.44,0.260056605433286,0.0275,25,0.25,0.5,"gam_DC","skew","gam_DCl",0.000107587286848343
"1427",76,"abs_max_d2",-0.382,25,NA,0.0103413947049924,"jack_quant",-0.361731238828302,-0.402268761171698,-0.272,-0.44,0.260056605433286,0.0275,25,0.25,0.5,"gam_DC","skew","gam_DCl",0.000107587286848343
"1428",76,"abs_max_d2",-0.382,25,1,0.0103413947049924,"sim_int",-0.361731238828302,-0.402268761171698,-0.272,-0.44,0.260056605433286,0.0275,25,0.25,0.5,"gam_DC","skew","gam_DCl",0.000107587286848343
"1429",77,"abs_max_d2",-0.4052,25,1,0.0241603440004943,"none",-0.357846595904933,-0.452553404095067,-0.272,-0.616,0.236856605433286,0.0275,25,0.25,0.5,"gam_DCl","skew","gam_DC",0.552993560326286
"1430",77,"abs_max_d2",-0.4052,25,NA,0.0241603440004943,"jack_quant",-0.357846595904933,-0.452553404095067,-0.272,-0.616,0.236856605433286,0.0275,25,0.25,0.5,"gam_DCl","skew","gam_DC",0.552993560326286
"1431",77,"abs_max_d2",-0.4052,25,1,0.0241603440004943,"sim_int",-0.357846595904933,-0.452553404095067,-0.272,-0.616,0.236856605433286,0.0275,25,0.25,0.5,"gam_DCl","skew","gam_DC",0.552993560326286
"1432",78,"abs_max_d2",-0.4672,25,1,0.0467949130663675,"none",-0.375483655730237,-0.558916344269763,-0.364,-0.906,0.174856605433286,0.0275,25,0.25,0.5,"gam_DC","skew","gam_DCl",1.08221020411747e-06
"1433",78,"abs_max_d2",-0.4672,25,NA,0.0467949130663675,"jack_quant",-0.375483655730237,-0.558916344269763,-0.364,-0.906,0.174856605433286,0.0275,25,0.25,0.5,"gam_DC","skew","gam_DCl",1.08221020411747e-06
"1434",78,"abs_max_d2",-0.4672,25,1,0.0467949130663675,"sim_int",-0.375483655730237,-0.558916344269763,-0.364,-0.906,0.174856605433286,0.0275,25,0.25,0.5,"gam_DC","skew","gam_DCl",1.08221020411747e-06
"1435",79,"abs_max_d2",-0.5684,25,1,0.012085919263525,"none",-0.544712033523432,-0.592087966476568,-0.45,-0.61,0.0736566054332859,0.0275,25,0.25,0.5,"gam_DC","skew","gam_DCl",2.18473469004721e-05
"1436",79,"abs_max_d2",-0.5684,25,NA,0.012085919263525,"jack_quant",-0.544712033523432,-0.592087966476568,-0.45,-0.61,0.0736566054332859,0.0275,25,0.25,0.5,"gam_DC","skew","gam_DCl",2.18473469004721e-05
"1437",79,"abs_max_d2",-0.5684,25,1,0.012085919263525,"sim_int",-0.544712033523432,-0.592087966476568,-0.45,-0.61,0.0736566054332859,0.0275,25,0.25,0.5,"gam_DC","skew","gam_DCl",2.18473469004721e-05
"1438",80,"abs_max_d2",-0.2732,25,1,0.00522812904711938,"none",-0.262953055361118,-0.283446944638882,-0.24,-0.326,0.368856605433286,0.0275,25,0.25,0.5,"gam_DCl","skew","gam_DC",0.873739469569124
"1439",80,"abs_max_d2",-0.2732,25,NA,0.00522812904711938,"jack_quant",-0.262953055361118,-0.283446944638882,-0.24,-0.326,0.368856605433286,0.0275,25,0.25,0.5,"gam_DCl","skew","gam_DC",0.873739469569124
"1440",80,"abs_max_d2",-0.2732,25,1,0.00522812904711938,"sim_int",-0.262953055361118,-0.283446944638882,-0.24,-0.326,0.368856605433286,0.0275,25,0.25,0.5,"gam_DCl","skew","gam_DC",0.873739469569124
"1441",81,"abs_max_d2",-0.5084,25,1,0.0279861076647365,"none",-0.453548236909656,-0.563251763090344,-0.342,-0.746,0.133656605433286,0.0275,25,0.25,0.5,"gam_DCl","skew","gam_DC",7.72641563711522
"1442",81,"abs_max_d2",-0.5084,25,NA,0.0279861076647365,"jack_quant",-0.453548236909656,-0.563251763090344,-0.342,-0.746,0.133656605433286,0.0275,25,0.25,0.5,"gam_DCl","skew","gam_DC",7.72641563711522
"1443",81,"abs_max_d2",-0.5084,25,1,0.0279861076647365,"sim_int",-0.453548236909656,-0.563251763090344,-0.342,-0.746,0.133656605433286,0.0275,25,0.25,0.5,"gam_DCl","skew","gam_DC",7.72641563711522
"1444",82,"abs_max_d2",-0.4604,25,1,0.0111567119807864,"none",-0.438533246331772,-0.482266753668228,-0.346,-0.548,0.181656605433286,0.0275,25,0.25,0.5,"gam_DC","skew","gam_DCl",1.32190358203594
"1445",82,"abs_max_d2",-0.4604,25,NA,0.0111567119807864,"jack_quant",-0.438533246331772,-0.482266753668228,-0.346,-0.548,0.181656605433286,0.0275,25,0.25,0.5,"gam_DC","skew","gam_DCl",1.32190358203594
"1446",82,"abs_max_d2",-0.4604,25,1,0.0111567119807864,"sim_int",-0.438533246331772,-0.482266753668228,-0.346,-0.548,0.181656605433286,0.0275,25,0.25,0.5,"gam_DC","skew","gam_DCl",1.32190358203594
"1447",83,"abs_max_d2",-0.1104,25,1,0.0187405531757559,"none",-0.0736691907251607,-0.147130809274839,-0.0819999999999999,-0.28,0.531656605433286,0.0275,25,0.25,0.5,"gam_DCl","skew","gam_DC",3.14557502768864
"1448",83,"abs_max_d2",-0.1104,25,NA,0.0187405531757559,"jack_quant",-0.0736691907251607,-0.147130809274839,-0.0819999999999999,-0.28,0.531656605433286,0.0275,25,0.25,0.5,"gam_DCl","skew","gam_DC",3.14557502768864
"1449",83,"abs_max_d2",-0.1104,25,1,0.0187405531757559,"sim_int",-0.0736691907251607,-0.147130809274839,-0.0819999999999999,-0.28,0.531656605433286,0.0275,25,0.25,0.5,"gam_DCl","skew","gam_DC",3.14557502768864
"1450",84,"abs_max_d2",-0.2856,25,1,0.00167497927018683,"none",-0.282317100955583,-0.288882899044417,-0.272,-0.3,0.356456605433286,0.0275,25,0.25,0.5,"gam_DCl","skew","gam_DC",0.000263356013135763
"1451",84,"abs_max_d2",-0.2856,25,NA,0.00167497927018683,"jack_quant",-0.282317100955583,-0.288882899044417,-0.272,-0.3,0.356456605433286,0.0275,25,0.25,0.5,"gam_DCl","skew","gam_DC",0.000263356013135763
"1452",84,"abs_max_d2",-0.2856,25,1,0.00167497927018683,"sim_int",-0.282317100955583,-0.288882899044417,-0.272,-0.3,0.356456605433286,0.0275,25,0.25,0.5,"gam_DCl","skew","gam_DC",0.000263356013135763
"1453",85,"abs_max_d2",-0.8784,25,1,0.021895268387891,"none",-0.835486062527895,-0.921313937472105,-0.588,-0.93,-0.236343394566714,0.0275,25,0.25,0.5,"gam_DC","skew","gam_DCl",0.00029425828154217
"1454",85,"abs_max_d2",-0.8784,25,NA,0.021895268387891,"jack_quant",-0.835486062527895,-0.921313937472105,-0.588,-0.93,-0.236343394566714,0.0275,25,0.25,0.5,"gam_DC","skew","gam_DCl",0.00029425828154217
"1455",85,"abs_max_d2",-0.8784,25,1,0.021895268387891,"sim_int",-0.835486062527895,-0.921313937472105,-0.588,-0.93,-0.236343394566714,0.0275,25,0.25,0.5,"gam_DC","skew","gam_DCl",0.00029425828154217
"1456",86,"abs_max_d2",-0.4764,25,1,0.00564825440094351,"none",-0.465329624798631,-0.487470375201369,-0.422,-0.52,0.165656605433286,0.0275,25,0.25,0.5,"gam_DC","skew","gam_DCl",0.000521969190508287
"1457",86,"abs_max_d2",-0.4764,25,NA,0.00564825440094351,"jack_quant",-0.465329624798631,-0.487470375201369,-0.422,-0.52,0.165656605433286,0.0275,25,0.25,0.5,"gam_DC","skew","gam_DCl",0.000521969190508287
"1458",86,"abs_max_d2",-0.4764,25,1,0.00564825440094351,"sim_int",-0.465329624798631,-0.487470375201369,-0.422,-0.52,0.165656605433286,0.0275,25,0.25,0.5,"gam_DC","skew","gam_DCl",0.000521969190508287
"1459",87,"abs_max_d2",-0.8656,25,1,0.0305963868600344,"none",-0.805632183697278,-0.925567816302722,-0.562000000000001,-0.932,-0.223543394566714,0.0275,25,0.25,0.5,"gam_DCl","skew","gam_DC",1.49725170217607e-05
"1460",87,"abs_max_d2",-0.8656,25,NA,0.0305963868600344,"jack_quant",-0.805632183697278,-0.925567816302722,-0.562000000000001,-0.932,-0.223543394566714,0.0275,25,0.25,0.5,"gam_DCl","skew","gam_DC",1.49725170217607e-05
"1461",87,"abs_max_d2",-0.8656,25,1,0.0305963868600344,"sim_int",-0.805632183697278,-0.925567816302722,-0.562000000000001,-0.932,-0.223543394566714,0.0275,25,0.25,0.5,"gam_DCl","skew","gam_DC",1.49725170217607e-05
"1462",88,"abs_max_d2",-0.5292,25,1,0.00513430726691646,"none",-0.519136942671281,-0.539263057328718,-0.468,-0.568,0.112856605433286,0.0275,25,0.25,0.5,"gam_DCl","skew","gam_DC",0.000418625596402933
"1463",88,"abs_max_d2",-0.5292,25,NA,0.00513430726691646,"jack_quant",-0.519136942671281,-0.539263057328718,-0.468,-0.568,0.112856605433286,0.0275,25,0.25,0.5,"gam_DCl","skew","gam_DC",0.000418625596402933
"1464",88,"abs_max_d2",-0.5292,25,1,0.00513430726691646,"sim_int",-0.519136942671281,-0.539263057328718,-0.468,-0.568,0.112856605433286,0.0275,25,0.25,0.5,"gam_DCl","skew","gam_DC",0.000418625596402933
"1465",89,"abs_max_d2",-0.4396,25,1,0.00422788363132193,"none",-0.431313500351783,-0.447886499648217,-0.396,-0.47,0.202456605433286,0.0275,25,0.25,0.5,"gam_DC","skew","gam_DCl",3.89710477719518e-05
"1466",89,"abs_max_d2",-0.4396,25,NA,0.00422788363132193,"jack_quant",-0.431313500351783,-0.447886499648217,-0.396,-0.47,0.202456605433286,0.0275,25,0.25,0.5,"gam_DC","skew","gam_DCl",3.89710477719518e-05
"1467",89,"abs_max_d2",-0.4396,25,1,0.00422788363132193,"sim_int",-0.431313500351783,-0.447886499648217,-0.396,-0.47,0.202456605433286,0.0275,25,0.25,0.5,"gam_DC","skew","gam_DCl",3.89710477719518e-05
"1468",90,"abs_max_d2",-0.9672,25,1,0.0235372045918796,"none",-0.921067926703165,-1.01333207329683,-0.648,-1.032,-0.325143394566714,0.0275,25,0.25,0.5,"gam_DC","skew","gam_DCl",0.00018768187980811
"1469",90,"abs_max_d2",-0.9672,25,NA,0.0235372045918796,"jack_quant",-0.921067926703165,-1.01333207329683,-0.648,-1.032,-0.325143394566714,0.0275,25,0.25,0.5,"gam_DC","skew","gam_DCl",0.00018768187980811
"1470",90,"abs_max_d2",-0.9672,25,1,0.0235372045918796,"sim_int",-0.921067926703165,-1.01333207329683,-0.648,-1.032,-0.325143394566714,0.0275,25,0.25,0.5,"gam_DC","skew","gam_DCl",0.00018768187980811
"1471",91,"abs_max_d2",-0.5188,25,1,0.0223165359717358,"none",-0.475060393235705,-0.562539606764295,-0.418,-0.734,0.123256605433286,0.0275,25,0.25,0.5,"gam_DC","skew","gam_DCl",0.000172968518093342
"1472",91,"abs_max_d2",-0.5188,25,NA,0.0223165359717358,"jack_quant",-0.475060393235705,-0.562539606764295,-0.418,-0.734,0.123256605433286,0.0275,25,0.25,0.5,"gam_DC","skew","gam_DCl",0.000172968518093342
"1473",91,"abs_max_d2",-0.5188,25,1,0.0223165359717358,"sim_int",-0.475060393235705,-0.562539606764295,-0.418,-0.734,0.123256605433286,0.0275,25,0.25,0.5,"gam_DC","skew","gam_DCl",0.000172968518093342
"1474",92,"abs_max_d2",-0.4812,25,1,0.0974435734155927,"none",-0.290214105580554,-0.672185894419446,1.078,-0.71,0.160856605433286,0.0275,25,0.25,0.5,"gam_DC","skew","gam_DCl",1.25546101980419
"1475",92,"abs_max_d2",-0.4812,25,NA,0.0974435734155927,"jack_quant",-0.290214105580554,-0.672185894419446,1.078,-0.71,0.160856605433286,0.0275,25,0.25,0.5,"gam_DC","skew","gam_DCl",1.25546101980419
