"","sim","thresh_method","thresh_mean","thresh_n","thresh_n_full","thresh_se","sig_type","ci_n_up","ci_n_low","ci_em_up","ci_em_low","thresh_diff","obs_error","ts_length","thresh_quant","cov_sd","shape","best_mod","next_mod","aic_diff"
"24",8,"abs_max_d2",-0.258,25,1,0.004249182927994,"sim_int",-0.249671754497409,-0.266328245502591,-0.206,-0.274,0.384056605433286,0.0275,25,0.25,1,"skew","gam_DC","gam_DlC",19.8637434491129
"25",9,"abs_max_d2",-0.628,25,1,0.037425852621476,"none",-0.554646676771203,-0.701353323228797,-0.276000000000001,-0.936,0.0140566054332858,0.0275,25,0.25,1,"skew","gam_DC","gam_DlC",52.9914826206041
"26",9,"abs_max_d2",-0.628,25,NA,0.037425852621476,"jack_quant",-0.554646676771203,-0.701353323228797,-0.276000000000001,-0.936,0.0140566054332858,0.0275,25,0.25,1,"skew","gam_DC","gam_DlC",52.9914826206041
"27",9,"abs_max_d2",-0.628,25,1,0.037425852621476,"sim_int",-0.554646676771203,-0.701353323228797,-0.276000000000001,-0.936,0.0140566054332858,0.0275,25,0.25,1,"skew","gam_DC","gam_DlC",52.9914826206041
"28",10,"abs_max_d2",-0.816,25,1,0.0430156625221816,"none",-0.731690850685395,-0.900309149314605,-0.402000000000001,-0.914,-0.173943394566714,0.0275,25,0.25,1,"skew","gam_DC","gam_DlC",28.8298383058135
"29",10,"abs_max_d2",-0.816,25,NA,0.0430156625221816,"jack_quant",-0.731690850685395,-0.900309149314605,-0.402000000000001,-0.914,-0.173943394566714,0.0275,25,0.25,1,"skew","gam_DC","gam_DlC",28.8298383058135
"30",10,"abs_max_d2",-0.816,25,1,0.0430156625221816,"sim_int",-0.731690850685395,-0.900309149314605,-0.402000000000001,-0.914,-0.173943394566714,0.0275,25,0.25,1,"skew","gam_DC","gam_DlC",28.8298383058135
"31",11,"abs_max_d2",0.2784,25,1,0.0388134784721894,"none",0.354473019920212,0.202326980079788,0.49,-0.168,0.920456605433286,0.0275,25,0.25,1,"skew","gam_DC_ns","gam_DlC",1.2893169394627
"32",11,"abs_max_d2",0.3125,24,NA,0.0179291822613176,"jack_quant",0.347640551504437,0.277359448495563,0.49375,0.149,0.954556605433286,0.0275,25,0.25,1,"skew","gam_DC_ns","gam_DlC",1.2893169394627
"33",11,"abs_max_d2",-0.54,1,0,NA,"sim_int",NA,NA,NA,NA,0.102056605433286,0.0275,25,0.25,1,"skew","gam_DC_ns","gam_DlC",1.2893169394627
"34",12,"abs_max_d2",-0.4804,25,1,0.00208166599946614,"none",-0.476320009613205,-0.484479990386795,-0.47,-0.504,0.161656605433286,0.0275,25,0.25,1,"skew","gam_DC","gam_DlC",51.8897288888082
"35",12,"abs_max_d2",-0.4804,25,NA,0.00208166599946614,"jack_quant",-0.476320009613205,-0.484479990386795,-0.47,-0.504,0.161656605433286,0.0275,25,0.25,1,"skew","gam_DC","gam_DlC",51.8897288888082
"36",12,"abs_max_d2",-0.4804,25,1,0.00208166599946614,"sim_int",-0.476320009613205,-0.484479990386795,-0.47,-0.504,0.161656605433286,0.0275,25,0.25,1,"skew","gam_DC","gam_DlC",51.8897288888082
"37",13,"abs_max_d2",-0.278,25,1,0.0324037034920393,"none",-0.214489908189888,-0.341510091810112,0.00200000000000009,-0.566,0.364056605433286,0.0275,25,0.25,1,"skew","gam_DC","gam_DlC",17.7924403907219
"38",13,"abs_max_d2",-0.278,25,NA,0.0324037034920393,"jack_quant",-0.214489908189888,-0.341510091810112,0.00200000000000009,-0.566,0.364056605433286,0.0275,25,0.25,1,"skew","gam_DC","gam_DlC",17.7924403907219
"39",13,"abs_max_d2",-0.278,25,1,0.0324037034920393,"sim_int",-0.214489908189888,-0.341510091810112,0.00200000000000009,-0.566,0.364056605433286,0.0275,25,0.25,1,"skew","gam_DC","gam_DlC",17.7924403907219
"40",14,"abs_max_d2",-0.7628,25,1,0.0140128908905733,"none",-0.735335238535187,-0.790264761464813,-0.604,-0.834,-0.120743394566714,0.0275,25,0.25,1,"skew","gam_DC","gam_DlC",36.1496773772772
"41",14,"abs_max_d2",-0.7628,25,NA,0.0140128908905733,"jack_quant",-0.735335238535187,-0.790264761464813,-0.604,-0.834,-0.120743394566714,0.0275,25,0.25,1,"skew","gam_DC","gam_DlC",36.1496773772772
"42",14,"abs_max_d2",-0.772916666666667,24,1,0.00988552944973486,"sim_int",-0.753541384977076,-0.792291948356257,-0.66,-0.83425,-0.130860061233381,0.0275,25,0.25,1,"skew","gam_DC","gam_DlC",36.1496773772772
"43",15,"abs_max_d2",-0.7212,25,1,0.0158149015523686,"none",-0.690203362538311,-0.752196637461689,-0.55,-0.774,-0.079143394566714,0.0275,25,0.25,1,"skew","gam_DC","gam_DlC",103.491039564937
"44",15,"abs_max_d2",-0.7212,25,NA,0.0158149015523686,"jack_quant",-0.690203362538311,-0.752196637461689,-0.55,-0.774,-0.079143394566714,0.0275,25,0.25,1,"skew","gam_DC","gam_DlC",103.491039564937
"45",15,"abs_max_d2",-0.7212,25,1,0.0158149015523686,"sim_int",-0.690203362538311,-0.752196637461689,-0.55,-0.774,-0.079143394566714,0.0275,25,0.25,1,"skew","gam_DC","gam_DlC",103.491039564937
"46",16,"abs_max_d2",-0.9,25,1,0.0925787952683191,"none",-0.718548895541988,-1.08145110445801,0.588,-1.194,-0.257943394566714,0.0275,25,0.25,1,"skew","gam_DC","gam_DlC",26.0900006393426
