"","year","temp_100_anom","age3_4_CA_US","temp_100_anom_z","age3_4_CA_US_z"
"1",1995,0.00514847603182303,0.0410235722140209,0.0159820629379913,-0.504695437079871
"2",1998,0.488949972136315,0.437998460939235,1.51781404437162,2.84519403780628
"3",2001,-0.202446754441128,0.0863756645130307,-0.62844164973698,-0.121989878185741
"4",2003,-0.450789368010601,0.0792373026791167,-1.39935468414168,-0.182227247990535
"5",2005,0.268824413799084,0.246566694145129,0.834493289674355,1.2297889354792
"6",2007,-0.241057903725976,0.126267772790935,-0.748299606570102,0.21464137342895
"7",2009,-0.178269428743184,0.0164386687411549,-0.553389626849338,-0.712156190200337
"8",2011,-0.0563509742273845,0.0438940036198863,-0.174926485265249,-0.48047317963238
"9",2012,-0.20284054633833,0.0445644960678888,-0.629664071060619,-0.474815200605629
"10",2013,-0.407092424158111,0.00852408637200272,-1.26370924216395,-0.778943729990781
"11",2015,0.212147179771941,0.0850449971406351,0.658554018368799,-0.133218771377642
"12",2017,0.544859467591147,0.066110687915929,1.69137007719908,-0.292996744714358
"13",2019,0.218917890314403,0.0287687865440296,0.679571873236082,-0.608107966937158
